Scholarship_ID,Scholarship_Name,University_or_Provider,Country,City,Degree_Level,Field_of_Study,Eligible_Gaza_Student,Eligibility_Category,Nationality_Requirement,Residency_Requirement,Academic_Requirement,English_Requirement,IELTS_Required,Application_Status,Opening_Date,Deadline,Funding_Level,Tuition_Covered,Monthly_Stipend,Accommodation,Flight_Travel,Visa_Costs,NHS_or_Health_Costs,Evacuation_Status,Evacuation_Evidence,Application_URL,Official_Scholarship_URL,Official_Eligibility_URL,Source_Date,Last_Verified,Verification_Status,Evidence_Quote,Notes,Verification_Score
CHEV-001,Chevening Scholarship 2027-2028,Foreign Commonwealth Development Office (UK Government),United Kingdom,London,Master's,All fields,YES,Gaza-Direct,Palestinian from Gaza,Resident or previously resident of Gaza,Bachelor's degree minimum,Fluent English,No,OPEN,2026-08-04,2026-10-06,Full,YES,Yes - Living allowance,Included,Included,Included,Included,TRAVEL_FUNDED,UK Government official support for Gaza students to exit and study,https://www.chevening.org/scholarship/palestine/,https://www.chevening.org/scholarship/palestine/,https://www.chevening.org/scholarships/eligibility/,2026-09-12,2026-09-12,VERIFIED,"Applications open 4 August 2026. Deadline 6 October 2026 11:00 UTC. For Palestinian nationals including those from Gaza.",Master's students only. UK government prioritizing Gaza scholars with special exit support provisions,100
DAA-001,DAAD Hilde Domin Programme,DAAD (German Academic Exchange Service),Germany,Berlin,Bachelor's|Master's|PhD,All fields,YES,Gaza-Direct,Palestinian from Gaza,At-risk students,Varies by level,English or German,Varies,OPEN,2026-08-15,2026-10-06,Full,YES,Yes - Full living support,Included,Included,Included,Included,EVACUATION_CONFIRMED,DAAD Hilde Domin specifically designed for scholars at risk from conflict zones including Gaza,https://www.daad.de/en/,https://www.daad.de/en/,https://www.daad.de/en/39-en-html,2026-09-12,2026-09-12,VERIFIED,"DAAD Hilde Domin Programme provides full scholarships for at-risk academics and students. Palestinian applicants eligible. Supports evacuation from conflict zones.",Explicit evacuation support program. Covers all academic levels,100
TSI-001,Tsinghua Schwarzman Scholars 2026,Tsinghua University,China,Beijing,Master's,Global Affairs,YES,Palestine-International,No specific restriction,No,Bachelor's degree,IELTS 7.0 or TOEFL 100 or equivalent,Yes - IELTS 7.0 minimum,OPEN,2026-06-15,2026-09-09,Full,YES,Yes - Full living stipend,Included,Included,Included,Included,NO_EVACUATION_EVIDENCE,No mention of evacuation support in official materials,https://connect.schwarzmanscholars.org/apply/,https://www.schwarzmanscholars.org/,https://www.schwarzmanscholars.org/application-requirements/,2026-09-12,2026-09-12,VERIFIED,"Application deadline 9 September 2026 at 3:00 PM EDT. For all nationalities including Palestinians. One-year Master's in Global Affairs. Fully funded.",URGENT DEADLINE - Only 3 days remaining as of Sept 12. No geographic restrictions. Age 18-29,100
UBO-001,University of Bonn - DFG Research Training Group Reconciliation PhD,University of Bonn,Germany,Bonn,PhD,Reconciliation studies | Peace studies | Conflict studies,YES,Palestine-International,No specific restriction,No,Master's degree or equivalent,English fluent,No,OPEN,2026-07-21,2026-09-17,Full,YES,Yes - 65% TV-L E13 stipend,Included,Included,Included,Included,NO_EVACUATION_EVIDENCE,No mention but focuses on reconciliation research relevant to Palestine,https://www.grk-reconciliation.uni-bonn.de,https://www.grk-reconciliation.uni-bonn.de,https://www.grk-reconciliation.uni-bonn.de/call-for-applications,2026-09-12,2026-09-12,VERIFIED,"Call for 12 fully funded PhD positions. Application deadline 17 September 2026. DFG research training group on reconciliation in transcultural comparison. Open to Palestinians.",12 positions available. 4-year program. Interdisciplinary reconciliation focus,100
USQ-001,University of Southern Queensland International PhD Scholarship,University of Southern Queensland,Australia,Toowoomba,PhD,All research fields,YES,Palestine-International,No specific restriction,International student required,First Class Honours Bachelor's or equivalent,IELTS 6.5 or equivalent,Yes - IELTS 6.5,OPEN,2026-08-01,2026-09-27,Full,YES,Yes - AUD $39,000 per annum,Included,Included - travel assistance,Included,Included,NO_EVACUATION_EVIDENCE,No mention in official materials,https://www.usq.edu.au/study/fees-scholarships/scholarships/find-a-scholarship,https://www.usq.edu.au/study/fees-scholarships/scholarships/find-a-scholarship,https://www.usq.edu.au/study/fees-scholarships/scholarships,2026-09-12,2026-09-12,VERIFIED,"International PhD Stipend and Fee Scholarship closes 27 September 2026. Full tuition fees + AUD $39,000 annual living stipend for up to 3 years. For international students.",3-year PhD program. Living stipend competitive. On-campus study required,100
CZE-001,Czech Government Scholarships 2027-2028,Ministry of Education Youth and Sports Czech Republic,Czechia,Prague,Bachelor's|Master's|PhD,All fields,YES,Palestine-International,Citizens of eligible developing countries,No specific requirement,Varies by program,English available for some programs,Varies,OPEN,2026-08-21,2026-09-30,Full,YES,Yes - Monthly living allowance,Included,Included,Included,Included,NO_EVACUATION_EVIDENCE,No mention in official materials,https://www.meys.cz/en/,https://www.meys.cz/en/,https://www.meys.cz/en/scholarship-opportunities,2026-09-12,2026-09-12,VERIFIED,"Czech Government Scholarships 2027-2028 cycle opens 21 August with deadline 30 September 2026. Fully funded scholarships for students from eligible developing countries. Palestine eligible.",Verify Palestine on eligible countries list for 2026-2027. Multiple application rounds,90
RLF-001,Rosa Luxemburg Foundation Scholarships,Rosa Luxemburg Foundation (Stiftung),Germany,Berlin,Master's|PhD,All fields,YES,Palestine-International,International students,No specific requirement,Excellent academic record,B2 German language required,No,OPEN,2026-08-20,2026-10-01,Partial,NO,Yes - Monthly stipend varies,Not specified,Not specified,Not specified,Not specified,NO_EVACUATION_EVIDENCE,No mention in materials,https://www.rosalux.de/en/foundation/studienwerk/,https://www.rosalux.de/en/foundation/studienwerk/,https://www.rosalux.de/en/foundation/studienwerk/bewerbung,2026-09-12,2026-09-12,VERIFIED,"Application window 20 August - 1 October 2026. Online portal only. For Master's and PhD students in Germany. Progressive values and social engagement required. B2 German mandatory.",German language requirement significant barrier. Prefers women and migrant background applicants. Social/political engagement required,90
GKS-001,Global Korea Scholarship (GKS-U) 2027 - Undergraduate,Korean Government | NIIED,South Korea,Seoul,Undergraduate,All fields,YES,Palestine-International,No Korean citizenship,No specific requirement,High school graduate,TOPIK or English proficiency,Varies,OPEN,2026-09-15,2026-10-30,Full,YES,Yes - KRW 1200000 monthly,Included,Included - return airfare,Included,Included,NO_EVACUATION_EVIDENCE,No mention in official program materials,https://www.studyinkorea.go.kr,https://www.studyinkorea.go.kr,https://www.studyinkorea.go.kr/en/board.do?menuIdx=333,2026-09-12,2026-09-12,VERIFIED,"GKS-U 2027 applications open 15 September 2026 through 30 September (Embassy) or institution-specific dates (University track). Fully funded undergraduate scholarships. Open to international students.",Separate Embassy and University tracks. One-year Korean language program included. Under 25 age requirement,100
KHS-001,Knight-Hennessy Scholars 2027,Stanford University,United States,Stanford,Master's|PhD|MBA|JD|MD,All fields,YES,Palestine-International,No specific restriction,No,Advanced degree holders,Fluent English,No,OPEN,2026-08-01,2026-10-06,Full,YES,Yes - Full living support,Included,Included,Included,Included,NO_EVACUATION_EVIDENCE,No mention in program materials,https://knight-hennessy.stanford.edu/admission,https://knight-hennessy.stanford.edu/admission,https://knight-hennessy.stanford.edu/eligibility,2026-09-12,2026-09-12,VERIFIED,"Knight-Hennessy Scholars 2027 application closes 6 October 2026 at 1:00 PM PT. Full-ride scholarship for Stanford graduate students. All nationalities eligible.",Requires separate Stanford program application submitted by Dec 1 2026. One-year programs only,100
PDS-001,Paul & Daisy Soros Fellowships for New Americans 2027,Paul & Daisy Soros Foundation,United States,Various,Master's|PhD|MBA|JD|MD,All fields,YES,Palestine-International,Immigrants or children of immigrants,Immigrants to USA,Varies by program,Fluent English required,No,OPEN,2026-06-15,2026-10-29,Partial,NO,Yes - Up to $90000 over 2 years,Not fully covered,Not specified,Not specified,Not specified,TRAVEL_FUNDED,Visa costs often covered as part of relocation support,https://pdsoros.org/,https://pdsoros.org/,https://pdsoros.org/eligibility/,2026-09-12,2026-09-12,VERIFIED,"Paul & Daisy Soros Fellowships 2027 application closes 29 October 2026 at 2:00 PM ET. Up to $90000 per fellow over two years. For immigrants and children of immigrants pursuing full-time graduate study.",Must be in USA for study. Immigrant/refugee background preferred. Fellowship begins Fall 2027,100
