Scholarship_Name,University_or_Provider,Country,Reason_Not_Included,Last_Known_Status,Official_URL,Notes
Palestinian Students and Scholars at Risk Network (PSSAR) - Graduate Matching,PSSAR (Canadian Network),Canada,Matching program not formal scholarship; status unclear,Potentially ongoing but informal,https://pssar.ca/,Contact directly for current availability
Phoenix Space Gaza Student Emergency Relief Fund,Phoenix Space,United Kingdom,Emergency program with limited spots; unclear if accepting new applications Sept 2026,Past applications processed,https://phoenixspace.org/home-2/leaphigher/,Contact for current availability; prioritizes already-evacuated students
Scholars at Risk (SAR) Emergency Fellowships,Institute of International Education,USA,Rolling applications; exact 2026 deadlines unclear from official sources,Unknown,https://www.scholarsatrisk.org/,Contact directly for eligibility and deadline verification
Gaza Scholarship Initiative (GSI),GSI / Center for Applied Research,USA,Program appears inactive as of mid-2026; not accepting applications,Inactive,https://www.centeraap.org/gaza-scholarship-fund-for-displaced-students/,Last confirmed activity early 2026
New University in Exile Consortium - Palestinian Initiative,Multiple universities,International,Coordination network; not a formal scholarship provider; assists with placement,Ongoing as coordination,https://newuniversityinexileconsortium.org/palestinian-student-initiative/,Helpful for navigation but does not directly fund
Fulbright Foreign Student Program,US Department of State,United States,Palestinian applicants eligible but limited seats; exact 2026 deadlines vary by embassy,Likely open but embassy-dependent,https://foreign.fulbrightonline.org/,Contact US Embassy in Cairo or relevant representation
Erasmus Mundus Joint Masters,European Commission,Various European Countries,Palestinian students potentially eligible; exact program-by-program eligibility unclear,Likely open for some programs,https://www.erasmusmundus.eu/,Requires verification per program; no unified Gaza-specific information
Turkey Government Scholarships (Türkiye Bursları) Palestine Track,Turkish Government,Turkey,New Palestine-specific track announced for 2026; exact application dates and eligibility unconfirmed,Likely opening Sept-Oct 2026,https://www.turkiyeburslari.gov.tr/,Contact Turkish Ministry of Education directly for 2026-2027 cycle
Switzerland Excellence Scholarship,Swiss Government,Switzerland,Likely open in Oct 2026 but exact dates and Palestine eligibility unconfirmed,Likely open,https://www.sbfi.admin.ch/sbfi/en/home/education/scholarships-and-grants.html,Requires direct verification; deadlines shift annually
France Eiffel Excellence Scholarship,French Government,France,Institution-specific applications; Gaza eligibility at institution discretion,Open at various institutions,https://www.diplomatie.gouv.fr/,Requires verification with individual French universities
Australia Awards Scholarships 2027,Australian Government,Australia,Applications open Feb 1 2026 for 2027 intake; past deadline for 2026 cycle,Open Feb 2026 - TBD for 2027,https://www.studyaustralia.gov.au/,Monitor for 2027 cycle opening date
New Zealand Manaaki Scholarships,New Zealand Government,New Zealand,Applications typically open March each year; Palestine eligibility unconfirmed,Likely opening March 2027,https://www.nzscholarships.govt.nz/,Requires verification; no explicit 2026-2027 deadline confirmed yet
