Source_ID,URL,Organization,Page_Title,Date_Checked,Status,Notes
SRC-001,https://www.chevening.org/scholarship/palestine/,UK Foreign Commonwealth Development Office,Palestine (Chevening Scholarship),2026-09-12,VERIFIED_ACTIVE,Official Chevening page for Palestine applicants. Confirmed open with Oct 6 deadline.
SRC-002,https://www.daad.de/en/,DAAD,DAAD - German Academic Exchange Service,2026-09-12,VERIFIED_ACTIVE,Official DAAD main page. Hilde Domin Program confirmed with Oct 6 deadline.
SRC-003,https://connect.schwarzmanscholars.org/apply/,Tsinghua University,Schwarzman Scholars Application Portal,2026-09-12,VERIFIED_ACTIVE,Official application portal. Confirms Sept 9 2026 deadline. Note: Deadline may have passed as of Sept 12.
SRC-004,https://www.grk-reconciliation.uni-bonn.de,University of Bonn,DFG Research Training Group - Reconciliation,2026-09-12,VERIFIED_ACTIVE,Official research training group page. Confirms 12 fully-funded PhD positions with Sept 17 deadline.
SRC-005,https://www.usq.edu.au/study/fees-scholarships/scholarships/find-a-scholarship,University of Southern Queensland,USQ Scholarships Database,2026-09-12,VERIFIED_ACTIVE,Official scholarship portal. International PhD scholarship with Sept 27 deadline confirmed.
SRC-006,https://www.meys.cz/en/,Ministry of Education Youth and Sports,Czech Republic - Ministry of Education,2026-09-12,PARTIALLY_VERIFIED,Official ministry page. Czech Government Scholarships 2027-2028 referenced with Sept 30 deadline. Requires verification of Palestine on eligible countries list.
SRC-007,https://www.rosalux.de/en/foundation/studienwerk/,Rosa Luxemburg Foundation,Rosa Luxemburg Stiftung - Scholarship Program,2026-09-12,VERIFIED_ACTIVE,Official foundation page. Application window Aug 20 - Oct 1 confirmed. Requires B2 German.
SRC-008,https://www.studyinkorea.go.kr,Korean Government | NIIED,Study in Korea - Official Government Portal,2026-09-12,VERIFIED_ACTIVE,Official Korean government scholarship site. GKS-U 2027 deadline Oct 30 confirmed.
SRC-009,https://knight-hennessy.stanford.edu/admission,Stanford University,Knight-Hennessy Scholars - Admission,2026-09-12,VERIFIED_ACTIVE,Official Knight-Hennessy page. Oct 6 2026 deadline confirmed. Requires Stanford program application.
SRC-010,https://pdsoros.org/,Paul & Daisy Soros Foundation,Paul & Daisy Soros Fellowships for New Americans,2026-09-12,VERIFIED_ACTIVE,Official Soros Fellowship page. Oct 29 2026 deadline confirmed. Immigrant/refugee track relevant for Palestinians.
SRC-011,https://www.monash.edu/graduate-research/future-students/apply,Monash University,Monash Graduate Research - Apply,2026-09-12,VERIFIED_ACTIVE,Official Monash graduate research portal. Round 4 deadline Oct 31 confirmed. Round 3 (July 31) already passed.
SRC-012,https://www.britishcouncil.ps/en/study-uk/scholarships/hespal,British Council Palestine,HESPAL - Higher Education Scholarships for Palestinians,2026-09-12,CLOSED,2026-2027 cycle applications closed Feb 27 2026. Marked as closed but recurring program.
SRC-013,https://www.sussex.ac.uk/study/fees-funding/masters-scholarships/view/1946-Scholarships-for-Palestine,University of Sussex,Scholarships for Palestine 2026,2026-09-12,CLOSED,2026 cycle closed June 1 2026. Check for 2027 cycle opening.
SRC-014,https://www.sheffield.ac.uk/international/fees-and-funding/scholarships/postgraduate/gaza,University of Sheffield,Gaza-Palestine Postgraduate Taught Scholarship 2026,2026-09-12,CLOSED,2026 cycle closed May 26 2026. Monitor for 2027 cycle announcement.
SRC-015,https://www.gold.ac.uk/fees-funding/scholarships/palestinian-scholarship/,Goldsmiths University of London,Palestinian Scholarship,2026-09-12,CLOSED,2026-27 cycle closed March 31 2026. Monitor for next cycle.
